simulation_id,claim_count,annual_loss
10722,0,0.0
10724,0,0.0
10727,1,134.1368942897967
10734,0,0.0
10744,0,0.0
10754,0,0.0
10762,0,0.0
10765,0,0.0
10781,1,513.9451512108122
10795,0,0.0
10813,0,0.0
10818,0,0.0
10833,0,0.0
10836,0,0.0
10840,0,0.0
10865,0,0.0
10874,0,0.0
10910,0,0.0
10924,0,0.0
10928,0,0.0
10930,0,0.0
10943,0,0.0
10947,0,0.0
10962,0,0.0
10967,0,0.0
10984,0,0.0
10985,0,0.0
11008,0,0.0
11011,0,0.0
11014,0,0.0
11021,0,0.0
11027,0,0.0
11030,0,0.0
11035,0,0.0
11039,0,0.0
11040,2,1105.5333825852595
11055,0,0.0
11069,0,0.0
11072,0,0.0
11094,1,149.01414618461112
11098,0,0.0
11102,0,0.0
11104,0,0.0
11117,0,0.0
11118,0,0.0
11148,0,0.0
11151,0,0.0
11157,0,0.0
11162,0,0.0
11186,0,0.0
11188,0,0.0
11189,0,0.0
11205,0,0.0
11209,0,0.0
11210,1,363.32828141301854
11212,0,0.0
11218,0,0.0
11230,0,0.0
11235,0,0.0
11242,0,0.0
11271,0,0.0
11274,0,0.0
11284,0,0.0
11290,0,0.0
11295,0,0.0
11304,0,0.0
11310,0,0.0
11321,1,547.2527387228153
11333,0,0.0
11369,0,0.0
11370,0,0.0
11376,0,0.0
11377,0,0.0
11382,0,0.0
11421,0,0.0
11439,0,0.0
11440,0,0.0
11441,0,0.0
11443,0,0.0
11447,0,0.0
11481,0,0.0
11490,0,0.0
11492,0,0.0
11497,0,0.0
11506,0,0.0
11519,0,0.0
11521,0,0.0
11528,0,0.0
11530,1,96.89247875403477
11536,0,0.0
11537,0,0.0
11545,0,0.0
11561,0,0.0
11565,0,0.0
11574,0,0.0
11580,0,0.0
11591,0,0.0
11597,0,0.0
11598,0,0.0
11602,0,0.0
11624,0,0.0
11626,0,0.0
11646,0,0.0
11647,0,0.0
11654,0,0.0
11662,0,0.0
11670,0,0.0
11683,0,0.0
11697,1,684.1848681119731
11698,0,0.0
11701,0,0.0
11709,0,0.0
11711,0,0.0
11725,0,0.0
11729,0,0.0
11742,0,0.0
11745,0,0.0
11757,0,0.0
11764,1,333.1876816675655
11767,0,0.0
11771,1,1244.1794472286392
11779,0,0.0
11792,0,0.0
11817,0,0.0
11820,0,0.0
11843,0,0.0
11844,0,0.0
11846,0,0.0
11861,0,0.0
11869,0,0.0
11881,0,0.0
11882,1,4848.0707843168875
11891,0,0.0
11895,0,0.0
11898,1,283.2403699125538
11903,0,0.0
11905,0,0.0
11929,0,0.0
11936,0,0.0
11941,0,0.0
11961,0,0.0
11974,0,0.0
11975,0,0.0
11991,0,0.0
11998,1,1058.2389630035323
11999,0,0.0
12015,0,0.0
12028,0,0.0
12031,0,0.0
12033,0,0.0
12035,0,0.0
12036,0,0.0
12040,1,603.8319359361527
12045,0,0.0
12061,0,0.0
12068,0,0.0
12090,0,0.0
12114,0,0.0
12124,0,0.0
12150,0,0.0
12155,0,0.0
12170,0,0.0
12186,0,0.0
12200,0,0.0
12207,0,0.0
12211,0,0.0
12224,0,0.0
12226,0,0.0
12229,1,383.8938286553006
12234,2,985.7094617668774
12235,0,0.0
12238,0,0.0
12242,0,0.0
12250,0,0.0
12261,0,0.0
12268,0,0.0
12271,0,0.0
12279,0,0.0
12301,0,0.0
12313,0,0.0
12329,0,0.0
12340,1,6795.285650638707
12355,0,0.0
12373,0,0.0
12380,0,0.0
12384,0,0.0
12393,0,0.0
12400,0,0.0
12405,0,0.0
12419,0,0.0
12439,0,0.0
12452,1,180.76235097464917
12454,0,0.0
12455,1,1634.7821600571608
12464,0,0.0
12465,0,0.0
12467,0,0.0
12487,0,0.0
12488,0,0.0
12489,0,0.0
12501,0,0.0
12516,1,772.5138083803356
12518,0,0.0
12525,0,0.0
12531,0,0.0
12568,0,0.0
12572,0,0.0
12578,0,0.0
12581,0,0.0
12588,1,849.7748958066206
12590,0,0.0
12593,0,0.0
12607,0,0.0
12611,0,0.0
12613,0,0.0
12620,0,0.0
12621,0,0.0
12622,0,0.0
12627,0,0.0
12653,0,0.0
12670,0,0.0
12683,1,875.3950566466157
12720,0,0.0
12723,1,5404.549243218769
12737,0,0.0
12740,0,0.0
12757,0,0.0
12765,0,0.0
12768,0,0.0
12797,0,0.0
12810,0,0.0
12819,0,0.0
12821,0,0.0
12822,0,0.0
12836,0,0.0
12839,0,0.0
12847,0,0.0
12851,0,0.0
12865,0,0.0
12869,0,0.0
12884,0,0.0
12892,0,0.0
12899,0,0.0
12959,1,1046.0230887040661
12971,0,0.0
12985,0,0.0
12995,0,0.0
13001,0,0.0
13016,0,0.0
13035,1,470.56908987277484
13067,1,616.846461793538
13069,0,0.0
13070,0,0.0
13086,0,0.0
13088,0,0.0
13105,0,0.0
13106,0,0.0
13110,0,0.0
13136,0,0.0
13159,1,1668.9172396452166
13168,0,0.0
13180,0,0.0
13181,0,0.0
13186,0,0.0
13189,0,0.0
13246,0,0.0
13250,0,0.0
13260,0,0.0
13266,0,0.0
13267,0,0.0
13276,0,0.0
13280,0,0.0
13306,0,0.0
13314,0,0.0
13328,0,0.0
13344,0,0.0
13355,0,0.0
13357,0,0.0
13374,0,0.0
13377,0,0.0
13378,1,1158.7877410200824
13394,0,0.0
13428,0,0.0
13432,0,0.0
13443,0,0.0
13449,0,0.0
13471,0,0.0
13472,0,0.0
13478,0,0.0
13479,0,0.0
13484,0,0.0
13512,0,0.0
13524,0,0.0
13535,0,0.0
13540,0,0.0
13544,0,0.0
13557,0,0.0
13558,0,0.0
13564,0,0.0
13571,0,0.0
13600,0,0.0
13605,0,0.0
13623,0,0.0
13632,1,3087.774479623784
13634,0,0.0
13643,0,0.0
13648,0,0.0
13661,0,0.0
13681,0,0.0
13682,0,0.0
13699,0,0.0
13708,1,383.48813834547985
13710,0,0.0
13721,0,0.0
13750,0,0.0
